0,2011,Bourgogne-Franche-Comté,27,639.3,81.6,154.1,58.3
1,2011,Hauts-de-France,32,3.7,327.9,2473.8,47.5
2,2011,Grand-Est,44,6519.9,237.8,2685.8,171.9
3,2011,Auvergne-Rhône-Alpes,84,19358.3,253.1,606.4,244.3
4,2011,Occitanie,76,7740.1,439.4,1815.1,447.1
5,2011,Nouvelle-Aquitaine,75,2278.9,943.3,346.8,332.9
6,2011,Pays de la Loire,52,11.3,133.6,703.6,187.5
7,2011,Corse,94,294.0,8.2,24.2,25.1
8,2011,Provence-Alpes-Côte d'Azur,93,7915.7,288.5,92.5,338.7
9,2011,Bretagne,53,509.8,74.6,1112.9,95.4
10,2011,Centre-Val de Loire,24,56.3,132.1,1216.4,53.3
11,2011,Ile-de-France,11,44.9,677.4,13.9,27.5
12,2011,Normandie,28,111.0,259.7,829.5,39.1
